"ID","FAMILY_ID","TESTSET_QC_ID","TESTSET_NAME","TESTSET_DISPLAY_NAME","TESTSET_LOCATION","LAST_UPDATED_BY","LAST_UPDATED_DATE","CREATED_BY","CREATED_DATE"
18121,2939,"1742948","Collections & Sourcing","Supply Chain Planning\Collections & Sourcing","Root\Fusion 1.0.10\1.0.10 - L. Patch Testing\Bundle Patches\SCM\REL10OVM18\Supply Chain Planning\Collections & Sourcing","",05-AUG-15 05.38.05.261000000 PM,"",05-AUG-15 05.38.05.261000000 PM
18122,2939,"1742946","Intrastat Setups","Supply Chain Localizations\Intrastat Setups","Root\Fusion 1.0.10\1.0.10 - L. Patch Testing\Bundle Patches\SCM\REL10OVM18\Supply Chain Localizations\Intrastat Setups","",05-AUG-15 05.38.05.667000000 PM,"",05-AUG-15 05.38.05.667000000 PM
18123,2939,"1742947","Intrastat Transactions","Supply Chain Localizations\Intrastat Transactions","Root\Fusion 1.0.10\1.0.10 - L. Patch Testing\Bundle Patches\SCM\REL10OVM18\Supply Chain Localizations\Intrastat Transactions","",05-AUG-15 05.38.06.181000000 PM,"",05-AUG-15 05.38.06.181000000 PM
18124,2939,"1742930","INV","Logistics\INV","Root\Fusion 1.0.10\1.0.10 - L. Patch Testing\Bundle Patches\SCM\REL10OVM18\Logistics\INV","",05-AUG-15 05.38.06.743000000 PM,"",05-AUG-15 05.38.06.743000000 PM
12228,2050,"1271361","CRM_00_4_Serial_mutuEx_Quota","CRM_00_4_Serial_mutuEx_Quota","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL92CDRMOVM\CRM_00_4_Serial_mutuEx_Quota","",17-DEC-14 12.43.44.006000000 PM,"",17-DEC-14 12.43.44.006000000 PM
4865,1018,"379020","Serial_Set06_WS","AutoBAT\Serial Groups - SET B\Serial_Set06_WS","Root\Fusion 1.0.8\1.0.8 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL8GAPB2\AutoBAT\Serial Groups - SET B\Serial_Set06_WS","",19-JAN-14 08.01.24.439000000 PM,"",19-JAN-14 08.01.24.439000000 PM
4866,1018,"379021","Serial_Set07_WM2","AutoBAT\Serial Groups - SET B\Serial_Set07_WM2","Root\Fusion 1.0.8\1.0.8 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL8GAPB2\AutoBAT\Serial Groups - SET B\Serial_Set07_WM2","",19-JAN-14 08.01.27.309000000 PM,"",19-JAN-14 08.01.27.309000000 PM
4867,1018,"379022","Serial_Set08_SF","AutoBAT\Serial Groups - SET B\Serial_Set08_SF","Root\Fusion 1.0.8\1.0.8 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL8GAPB2\AutoBAT\Serial Groups - SET B\Serial_Set08_SF","",19-JAN-14 08.01.27.949000000 PM,"",19-JAN-14 08.01.27.949000000 PM
4868,1018,"379023","Serial_Set09_ACC","AutoBAT\Serial Groups - SET B\Serial_Set09_ACC","Root\Fusion 1.0.8\1.0.8 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL8GAPB2\AutoBAT\Serial Groups - SET B\Serial_Set09_ACC","",19-JAN-14 08.01.29.712000000 PM,"",19-JAN-14 08.01.29.712000000 PM
12229,2050,"1271362","CRM_01_1_EHC","CRM_01_1_EHC","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL92CDRMOVM\CRM_01_1_EHC","",17-DEC-14 12.43.44.412000000 PM,"",17-DEC-14 12.43.44.412000000 PM
12230,2050,"1271363","CRM_02_1_ACC_CommCRM_WM","CRM_02_1_ACC_CommCRM_WM","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL92CDRMOVM\CRM_02_1_ACC_CommCRM_WM","",17-DEC-14 12.43.47.641000000 PM,"",17-DEC-14 12.43.47.641000000 PM
12231,2050,"1271364","CRM_03_1_CustomerCenter","CRM_03_1_CustomerCenter","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL92CDRMOVM\CRM_03_1_CustomerCenter","",17-DEC-14 12.43.49.794000000 PM,"",17-DEC-14 12.43.49.794000000 PM
12232,2050,"1271365","CRM_03_2_CustomerCenter","CRM_03_2_CustomerCenter","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL92CDRMOVM\CRM_03_2_CustomerCenter","",17-DEC-14 12.43.56.985000000 PM,"",17-DEC-14 12.43.56.985000000 PM
12233,2050,"1271366","CRM_04_1_Contracts","CRM_04_1_Contracts","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL92CDRMOVM\CRM_04_1_Contracts","",17-DEC-14 12.43.57.952000000 PM,"",17-DEC-14 12.43.57.952000000 PM
12234,2050,"1271367","CRM_05_1_LM_Marketing","CRM_05_1_LM_Marketing","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL92CDRMOVM\CRM_05_1_LM_Marketing","",17-DEC-14 12.44.01.478000000 PM,"",17-DEC-14 12.44.01.478000000 PM
12235,2050,"1271368","CRM_06_1_MobileSales","CRM_06_1_MobileSales","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL92CDRMOVM\CRM_06_1_MobileSales","",17-DEC-14 12.44.06.907000000 PM,"",17-DEC-14 12.44.06.907000000 PM
