"ID","FAMILY_ID","DR_DATE","DR_COMMENTS","LAST_UPDATED_BY","LAST_UPDATED_DATE","CREATED_BY","CREATED_DATE"
44299,610,"16-05-2015","","",15-MAY-15 05.19.06.355000000 PM,"",15-MAY-15 05.19.06.355000000 PM
71594,3536,"29-02-2016","","",28-FEB-16 05.28.59.215000000 PM,"",28-FEB-16 05.28.59.215000000 PM
44301,2265,"16-05-2015","","",15-MAY-15 05.20.06.369000000 PM,"",15-MAY-15 05.20.06.369000000 PM
44302,2266,"16-05-2015","","",15-MAY-15 05.21.21.266000000 PM,"",15-MAY-15 05.21.21.266000000 PM
44303,2267,"16-05-2015","","",15-MAY-15 05.30.03.046000000 PM,"",15-MAY-15 05.30.03.046000000 PM
44304,2268,"16-05-2015","","",15-MAY-15 05.30.07.632000000 PM,"",15-MAY-15 05.30.07.632000000 PM
44305,2269,"16-05-2015","","",15-MAY-15 05.30.35.619000000 PM,"",15-MAY-15 05.30.35.619000000 PM
44306,2270,"16-05-2015","","",15-MAY-15 05.32.04.446000000 PM,"",15-MAY-15 05.32.04.446000000 PM
44307,2271,"16-05-2015","","",15-MAY-15 05.32.08.128000000 PM,"",15-MAY-15 05.32.08.128000000 PM
44308,2272,"16-05-2015","","",15-MAY-15 05.32.41.435000000 PM,"",15-MAY-15 05.32.41.435000000 PM
44309,2273,"16-05-2015","","",15-MAY-15 05.32.52.199000000 PM,"",15-MAY-15 05.32.52.199000000 PM
44310,2276,"16-05-2015","","",15-MAY-15 05.33.22.900000000 PM,"",15-MAY-15 05.33.22.900000000 PM
71595,3537,"29-02-2016","","",28-FEB-16 05.29.22.412000000 PM,"",28-FEB-16 05.29.22.412000000 PM
44312,2049,"16-05-2015","","",15-MAY-15 05.34.15.816000000 PM,"",15-MAY-15 05.34.15.816000000 PM
44313,2050,"16-05-2015","","",15-MAY-15 05.34.31.931000000 PM,"",15-MAY-15 05.34.31.931000000 PM
44314,2051,"16-05-2015","","",15-MAY-15 05.36.28.823000000 PM,"",15-MAY-15 05.36.28.823000000 PM
